DestinationPath;ContentType;IndboArea;Kategori;LBInfo;LBTeaser
følgeudgifter - redningsforanstaltninger.aspx;IndboManual;;Diverse;;
Genhusning - Skader der muligvis medfører genhusning - Storskade.aspx;IndboManual;;Diverse;;
Genhusning.aspx;IndboManual;;Diverse;;
Genhusningsadressen.aspx;IndboManual;;Vilkårenes afsnit 1.C. Hvor dækker forsikringen;;Medlems indbogenstande, der midlertidigt er flyttet med til genhusningsadressen og Indbogenstande på genhusningsadressen, som medlem bærer risikoen for er omfattet af medlems indboforsikring
Genlevering af ting der er købt brugt eller er mere end 2 år gamle - gældende for vilkår 33-4.aspx;IndboManual;;Erstatningsopgørelse;;
Genlevering af ting der er købt brugt eller er mere end 2 år gamle - gældende for vilkår 33-5.aspx;IndboManual;;Erstatningsopgørelse;;
Genlevering eller kontanterstatning.aspx;IndboManual;;Erstatningsopgørelse;;
Genlevering med brugte smykker.aspx;IndboManual;;Erstatningsopgørelse;;
Genlevering og Scalepoint.aspx;IndboManual;;Erstatningsopgørelse;;
Genstande der anvendes i undervisning.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Genstande der tilhører arbejdsgiver.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Genstande købt gennem bruttolønsordninger.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Genstande som helt eller delvist anvendes til erhverv - Privat.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Genstande, der forsvinder i forbindelse med ulykker.aspx;IndboManual;;Forretningsgang;;
Gerningsmænd - Forretningsgang for gerningsmandssager.aspx;IndboManual;;Den Gode Indboskadebehandler - Den Gode Indbotaksator - Regres;;
Gerningsmænd - kontakt fra politiet vedrørende gerningsmænd.aspx;IndboManual;;Den Gode Indboskadebehandler - Den Gode Indbotaksator - Regres;;
Glas og sanitetsdækning hos udeboende barn.aspx;IndboManual;;Vilkårenes afsnit 20. Glas og sanitet;;
Glasdækning - ridsede ruder.aspx;IndboManual;;Vilkårenes afsnit 20. Glas og sanitet;;
Glaskeramiske kogeplader.aspx;IndboManual;;Vilkårenes afsnit 20. Glas og sanitet;;
Go-cart.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Godkendelse af regninger - hvornår og hvordan.aspx;IndboManual;;Erstatningsopgørelse;;
Gps.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Gravering af sølvtøj.aspx;IndboManual;;Erstatningsopgørelse;;
Grov uagtsomhed - Simpelt tyveri af Iphone, pung, tasker og pc'er fra skoler, diskotek mv.aspx;IndboManual;;Vilkårenes afsnit 4. Simpelt tyveri - Generelt;;
Grov uagtsomhed forud for redning og bevaring.aspx;IndboManual;;Diverse;;
Grov uagtsomhed ved simpelt tyveri.aspx;IndboManual;;Vilkårenes afsnit 4. Simpelt tyveri - Generelt;;
Guldure, guldpenne mv.aspx;IndboManual;;Erstatningsopgørelse;;
Gulf Guld.aspx;IndboManual;;Forretningsgang;;
Gulvbelægning - indbo eller bygning.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Gulvbelægning i kælder.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Har det en konsekvens når medlem ikke overholder det, vi aftaler.aspx;IndboManual;;Forretningsgang;;Vi opkræver ikke allerede udbetalte erstatningsbeløb, når skaden er dækningsberettigende
Havelamper.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Hjemmebiograf.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Hotelværelse - voldeligt opbrud.aspx;IndboManual;;Vilkårenes afsnit 3. Indbrudstyveri;;"Der gælder et krav om voldeligt opbrud selv om medlem var til stede på hotelværelset under tyveriet. 
Hvis der ikke kan konstateres voldeligt opbrud dækker vi som simpelt tyveri"
Hundesyge - Behandling af hundesyge.aspx;IndboManual;;Forretningsgang;;
Husejere der har tegnet husplus.aspx;IndboManual;;Vilkårenes afsnit 11. Vandskade;;
Hvilke afvisninger skal anlægges.aspx;IndboManual;;Forretningsgang;;
Hårde hvidevarer - Behandling af skader på hårde hvidevarer.aspx;IndboManual;;Forretningsgang;;
Hårde hvidevarer.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Høreapparater og andre hjælpemidler.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Incassosager.aspx;IndboManual;;Forretningsgang;;
Indbo i sommerhuse som midlertidig befinder sig udenfor sommerhusmatriklen.aspx;IndboManual;;Sommerhusforsikringen;;
Indbogenstande som købes og efterlades på samme rejse.aspx;IndboManual;;Vilkårenes afsnit 13. Rejsegods;;
Indbovilkår 33-4 eller Indbovilkår 33-5.aspx;IndboManual;;Forretningsgang;;
Indbrud - Behandling af bygningsskader ved indbrud.aspx;IndboManual;;Forretningsgang;;
Indbrud - Behandling af indbrud.aspx;IndboManual;;Forretningsgang;;
Indbrudstyveri - Bankenøgle.aspx;IndboManual;;Vilkårenes afsnit 3. Indbrudstyveri;;Forudsætningen for dækning som indbrudstyveri er, at aflåsningsforholdene kan karakteriseres som forsvarlige
Indbrudstyveri - gennem lukkede og tilhaspede vinduer.aspx;IndboManual;;Vilkårenes afsnit 3. Indbrudstyveri;;Et vindue i udluftningsposition er væsentlig lettere at åbne og dette kan typisk ske med minimal skade på vinduet til følge. Derfor er et tyveri sket gennem et vindue, der står i udluftningsposition, som udgangspunkt et simpelt tyveri
Indbrudstyveri - Tyveri fra bankbokse og tyveri af nøgle til bankboks.aspx;IndboManual;;Vilkårenes afsnit 3. Indbrudstyveri;;Vi dækker udgiften til udboring af lås i bankboks, hvis nøgle bliver stjålet
Indkøb af affugter - strømforbrug.aspx;IndboManual;;Erstatningsopgørelse;;
Indlæg fra Peter Fynbo - Falske faktura.aspx;IndboManual;;Diverse;;
Informationssøgning.aspx;IndboManual;;Diverse;;
Inkassovarsel.aspx;IndboManual;;Forretningsgang;;
Interessefelt.aspx;IndboManual;;Forretningsgang;;
Interrailkort.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Iphones - Garanti - Reklamation - Reparation - Ombytning.aspx;IndboManual;;Erstatningsopgørelse;;
Isbåd.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Jagttrofæer.aspx;IndboManual;;Erstatningsopgørelse;;
Karokeanlæg og jukeboks.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Kikkert og løse kameraobjektiver - linser - afskrivning.aspx;IndboManual;;Erstatningsopgørelse;;
Kite Buggy.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Klageprocedure.aspx;IndboManual;;Forretningsgang;;
Kombiskader.aspx;IndboManual;;Forretningsgang;;
Kommandørkors.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Kosmetik.aspx;IndboManual;;Erstatningsopgørelse;;
Krav - Debitorarter ved oprettelse af krav i skadeportalen.aspx;IndboManual;;Forretningsgang;;
Krav - Oprettelse af skadeprovenue.aspx;IndboManual;;Forretningsgang;;"- Skyldner (navn, adresse og forsikringsselskab) skal altid oprettes på sagen
- Når der er udbetalt i sagen (helt eller delvist) skal der oprettes et krav på det beløb, vi retter mod skyldner – og ingen dagbog
- Når der ikke er udbetalt i sagen, skal der ikke oprettes et krav, men der skal oprettes en dagbog, så vi får fulgt op på sagen."
Krav - Rykkerproecedure for krav (ikke selvrisiko).aspx;IndboManual;;Forretningsgang;;
Kriteriet for en pludselig skade.aspx;IndboManual;;Vilkårenes afsnit 18. Pludselig skade;;
Kulanceanmodning.aspx;IndboManual;;Erstatningsopgørelse;;
Kunstgenstande - specialfremstillede genstande - genstande som ikke kan skaffes.aspx;IndboManual;;Erstatningsopgørelse;;
Køb af stjålne genstande.aspx;IndboManual;;Forretningsgang;;
Køb af tilvejekomne effekter.aspx;IndboManual;;Forretningsgang;;
Køb af tilvejekomne smykker eller andre genstande med 1. risikodækning.aspx;IndboManual;;Forretningsgang;;
Køle- og dybfrostskader - skader omfattet af garanti.aspx;IndboManual;;Vilkårenes afsnit 12. Køle- og dybfrostskade;;
Kørestole.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Legehus, gyngestativ og legetårn.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Liste over politikredse.aspx;IndboManual;;Diverse;;
Logerende.aspx;IndboManual;;Vilkårenes afsnit 1.B. Hvem dækker forsikringen;;En person betragtes som en logerende, hvis medlem ikke er indforstået med, at personen belaster medlems forsikring ved skader.
Lånte og lejede genstande.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Lægetasker.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Lærerbøger og undervisningsmateriale, som tilhører medlem.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Løbehjul med benzinmotor.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Mail - Skriftlig kommunikation med medlem.aspx;IndboManual;;Forretningsgang;;
Mails - Autoarkivering af mails uden kode.aspx;IndboManual;;Forretningsgang;;
Mails - Autosvar på mails - Ikke til stede.aspx;IndboManual;;Diverse;;
Maks. dækning for cykler.aspx;IndboManual;;Erstatningsopgørelse;;
Medarbejdersager.aspx;IndboManual;;Forretningsgang;;
Medicin.aspx;IndboManual;;Vilkårenes afsnit 12. Køle- og dybfrostskade;;
Medlems udlånte indbogenstande, der tages med til udlandet af låner.aspx;IndboManual;;Vilkårenes afsnit 13. Rejsegods;;
Mentech.aspx;IndboManual;;Forretningsgang;;
Midlertidigt anbragt uden for forsikringsstedet.aspx;IndboManual;;Vilkårenes afsnit 1.C. Hvor dækker forsikringen;;Dækningsperioden på 12 måneders midlertidig anbringelse uden for forsikringsstedet begynder forfra hver gang genstanden har været på forsikringsstedet.
Midlertidigt pas.aspx;IndboManual;;Erstatningsopgørelse;;
Misbrug af betalingskort.aspx;IndboManual;;Erstatningsopgørelse;;
Modtagelse af domme til brug for inddrivelse af penge, vi er tilkendt ad rettens vej.aspx;IndboManual;;Forretningsgang;;
Monobuggy - golfvogn.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Mortifikation af værdipapirer.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Motoriserede haveredskaber, herunder atv'er, som haveredskab.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Musikfiler.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Nedbør eller smeltevand trænger gennem utætheder i bygningen.aspx;IndboManual;;Vilkårenes afsnit 11. Vandskade;;
Nytteværdi.aspx;IndboManual;;Erstatningsopgørelse;;
Når der sker skade i forbindelse med udbedring af en skade.aspx;IndboManual;;Diverse;;
Nøgle til cykellås.aspx;IndboManual;;Erstatningsopgørelse;;
Offentligt tilgængelige oplysninger på internettet - fx facebook.aspx;IndboManual;;Forretningsgang;;
Omdøbe bilag på workflow.aspx;IndboManual;;Forretningsgang;;
Omstilling af flere låsecylindre på samme dør.aspx;IndboManual;;Erstatningsopgørelse;;
Omstilling af lås i postkasser.aspx;IndboManual;;Erstatningsopgørelse;;
Opbevaring af våben.aspx;IndboManual;;Forretningsgang;;
Opgørelse af dobbeltlforsikringskrav - Hvilke udgifter indgår i et dobbeltforsikringskrav.aspx;IndboManual;;Erstatningsopgørelse;;"Skaden udgør det højeste erstatningsbeløb, som de involverede selskaber ville have opgjort skaden til.
Administrationsomkostninger indgå ikke i kravet."
Opgørelse af erstatningens størrelse i forhold til vilkårenes maksdækning.aspx;IndboManual;;Erstatningsopgørelse;;
Opgørelse når reparation eller værdiforringelse udgør 50 procent af nyværdien.aspx;IndboManual;;Erstatningsopgørelse;;
Oplysninger til andre om medlems skadeforløb.aspx;IndboManual;;Forretningsgang;;
Opmagasinering.aspx;IndboManual;;Vilkårenes afsnit 1.C. Hvor dækker forsikringen;;"Der er ikke tale om opmagasinering når medlem anbringer indbogenstande Fx hjemme hos forældre eller venner. Derfor gælder tidsbegrænsningen på 12 måneder på disse steder.
Vi betragter de godkendte opmagasineringssteder som en helårsbolig."
Opstigende grundvand på lejeres forsikrede ting.aspx;IndboManual;;Vilkårenes afsnit 11. Vandskade;;
Opstigning af grund- og kloakvand.aspx;IndboManual;;Vilkårenes afsnit 9. Udstrømning af væsker (Vandskade);;
Opsætning.aspx;IndboManual;;Vilkårenes afsnit 20. Glas og sanitet;;
Oversigt over, hvilke selskaber der er tiltrådt de forskellige skadeforsikringsaftaler.aspx;IndboManual;;Diverse;;
Parabolantenner.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Partytelte og pavilloner.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Penge mm.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Personfølsomme oplysninger.aspx;IndboManual;;Forretningsgang;;
Plejebørn - når plejebarnet fylder 18 år.aspx;IndboManual;;Vilkårenes afsnit 1.B. Hvem dækker forsikringen;;Plejebørn er fortsat omfattet af den sikrede personkreds, når plejebarnet fylder 18 år og er tilmeldt på medlems folkeregisteradresse
Pludselig skade - Bortkomst eller beskadigelse.aspx;IndboManual;;Vilkårenes afsnit 18. Pludselig skade;;
Pludselig skade - Undtagelsesbestemmelserne almindelig brug og kosmetiske skader.aspx;IndboManual;;Vilkårenes afsnit 18. Pludselig skade;;
Pludselig skade forvoldt af dyr.aspx;IndboManual;;Vilkårenes afsnit 18. Pludselig skade;;
Pludselig skade på cykler.aspx;IndboManual;;Vilkårenes afsnit 18. Pludselig skade;;
Pludselig skade på motoriserede haveredskaber.aspx;IndboManual;;Vilkårenes afsnit 18. Pludselig skade;;
Pludselig tilsodning fra forskriftsmæssigt indrettet anlæg til at opvarme  rum.aspx;IndboManual;;Vilkårenes afsnit 2. Brand, lynnedslag og eksplosion mv.;;"Ved et forskriftsmæssigt indrettet anlæg til at opvarme rum forstås en pejs, brændeovn, pillefyr, brændefyr. 
Tilsodning fra madlavning, lys og olielamper er ikke en sodskade fra et forskriftsmæssigt indrettet anlæg til at opvarme rum"
Politiets journalkoder.aspx;IndboManual;;Diverse;;
Politikredse.aspx;IndboManual;;Diverse;;
Politikvittering - Indhentning af politikvittering.aspx;IndboManual;;Forretningsgang;;
Postkasser.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Postnumre inddeling for Indbotaksator på Fyn og Jylland.aspx;IndboManual;;Den Gode Indboskadebehandler - Den Gode Indbotaksator - Taksatorhjælp;;
Postnumre inddeling for Indbotaksator på Sjælland.aspx;IndboManual;;Den Gode Indboskadebehandler - Den Gode Indbotaksator - Taksatorhjælp;;
Private contra erhvervspenge.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Proteser.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
præmieobligation.aspx;IndboManual;;Erstatningsopgørelse;;
Psykisk syge - pludselige skader - hærværk.aspx;IndboManual;;Vilkårenes afsnit 18. Pludselig skade;;
Psykologisk krisehjælp.aspx;IndboManual;;Forretningsgang;;
Punktering.aspx;IndboManual;;Vilkårenes afsnit 20. Glas og sanitet;;
På hvilke rejser er rejsegods dækket.aspx;IndboManual;;Vilkårenes afsnit 13. Rejsegods;;
Radiostyrede modelfly og droner.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Ran begrebet.aspx;IndboManual;;Vilkårenes afsnit 6. Ran, røveri og overfald;;
Redning- og bevaringsudgift - Omstilling af låse.aspx;IndboManual;;Diverse;;
Redning- og bevaringsudgift - Tyveri af fjernbetjening til alarm.aspx;IndboManual;;Diverse;;
Redning- og bevaringsudgifter - Betaling på Indbo- eller husforsikring.aspx;IndboManual;;Forretningsgang;;
Registreringsattest.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Regres - Bevissikring i sager mod DONG (ØRSTED).aspx;IndboManual;;Den Gode Indboskadebehandler - Den Gode Indbotaksator - Regres;;
Regres - Forældrehæftelse.aspx;IndboManual;;Den Gode Indboskadebehandler - Den Gode Indbotaksator - Regres;;
Regres - Generelt om regresbehandling.aspx;IndboManual;;Den Gode Indboskadebehandler - Den Gode Indbotaksator - Regres;;
Regres - Hvem må lægge en regressag ned.aspx;IndboManual;;Den Gode Indboskadebehandler - Den Gode Indbotaksator - Regres;;
Regres - hvornår gør vi regres.aspx;IndboManual;;Den Gode Indboskadebehandler - Den Gode Indbotaksator - Regres;;
Regres - Kontanterstatning.aspx;IndboManual;;Den Gode Indboskadebehandler - Den Gode Indbotaksator - Regres;;
Regres - Når skaden er forvoldt af pårørende.aspx;IndboManual;;Den Gode Indboskadebehandler - Den Gode Indbotaksator - Regres;;
Regres - Opkrævning af selvrisiko.aspx;IndboManual;;Den Gode Indboskadebehandler - Den Gode Indbotaksator - Regres;;
Regres - Overfor flyselskaber.aspx;IndboManual;;Den Gode Indboskadebehandler - Den Gode Indbotaksator - Regres;;
Regres - Regresnotat.aspx;IndboManual;;Den Gode Indboskadebehandler - Den Gode Indbotaksator - Regres;;
Regres - Rejsegods - Regres overfor flyselskab.aspx;IndboManual;;Den Gode Indboskadebehandler - Den Gode Indbotaksator - Regres;;
Regres - Sager til regresgruppen.aspx;IndboManual;;Den Gode Indboskadebehandler - Den Gode Indbotaksator - Regres;;
Regres - Skade forvoldt af udenlandste biler.aspx;IndboManual;;Den Gode Indboskadebehandler - Den Gode Indbotaksator - Regres;;
Regres i færdselsskadesager.aspx;IndboManual;;Forretningsgang;;
Regresblanket.aspx;IndboManual;;Diverse;;
Regressager.aspx;IndboManual;;Den Gode Indboskadebehandler - Den Gode Indbotaksator - Regres;;
Reklamation overfor håndværkere og samarbejdspartnere.aspx;IndboManual;;Erstatningsopgørelse;;
Reparation af cykler.aspx;IndboManual;;Erstatningsopgørelse;;
Reparation eller totalskade i forhold til 50 procent reglen i indbovilkår 33-4.aspx;IndboManual;;Erstatningsopgørelse;;
Reparationserklæringer - betaling herfor.aspx;IndboManual;;Erstatningsopgørelse;;
Reserveafsættelse i skadesager som forventes at komme til at koste over 1,5 mio.aspx;IndboManual;;Erstatningsopgørelse;;
Reserveafsættelse.aspx;IndboManual;;Erstatningsopgørelse;;
Returnering af genleverede smykker.aspx;IndboManual;;Forretningsgang;;
Risiko - Indberetning af faktiske og mulige tab.aspx;IndboManual;;Diverse;;
Rådgivningsfejl - mangelfuld rådgivning fra tegningskonsulent.aspx;IndboManual;;Forretningsgang;;
Røveri.aspx;IndboManual;;Vilkårenes afsnit 6. Ran, røveri og overfald;;
Sagsbehandler til medlem (a).aspx;IndboManual;Skadeårsag er dækket - Done in one;Den Gode Indboskadebehandler - Den Gode Indbotaksator;;
Sagsbehandler til medlem eller taksator til medlem (b).aspx;IndboManual;Skadeårsag er dækket - Erstatning opgøres delvist. Vi mangler oplysninger om enkelte eller flere genstande for at tage stilling til dækning eller erstatningens størrelse;Den Gode Indboskadebehandler - Den Gode Indbotaksator;;
Sagsbehandler til medlem eller taksator til medlem (c).aspx;IndboManual;Skadeårsag er dækket - Vi mangler oplysninger om de skaderamte genstande for at tage stilling til dækning eller erstatningens størrelse;Den Gode Indboskadebehandler - Den Gode Indbotaksator;;
Sagsbehandler til medlem eller taksator til medlem (d).aspx;IndboManual;Vi ved ikke om skadeårsag er dækket;Den Gode Indboskadebehandler - Den Gode Indbotaksator;;
Sagsbehandler til medlem eller taksator til medlem (e).aspx;IndboManual;Telefonsamtalen afsluttes med;Den Gode Indboskadebehandler - Den Gode Indbotaksator;;
Sagsbehandler til medlem eller taksator til medlem (f).aspx;IndboManual;Skadeårsag er ikke dækket;Den Gode Indboskadebehandler - Den Gode Indbotaksator;;
Sagsbehandler til taksator (a).aspx;IndboManual;Overdragelse af sagen til taksastor;Den Gode Indboskadebehandler - Den Gode Indbotaksator;;
Sagsbehandler til taksator (b).aspx;IndboManual;Hvad skal noteres i SP Byg;Den Gode Indboskadebehandler - Den Gode Indbotaksator;;
Sagsflow.aspx;IndboManual;;Forretningsgang;;
Sanering - Forbehold på policen.aspx;IndboManual;;Diverse;;
Sanering - kontakt til sanering.aspx;IndboManual;;Diverse;;
Scalepoint  - Udbetaling til Scalepoint - Behandling af Kvalitetssager.aspx;IndboManual;;Diverse;;
Scalepoint Løsøre ECC.aspx;IndboManual;;Forretningsgang;;
Scalepoint til bygningsskader.aspx;IndboManual;;Forretningsgang;;
Segway og selvbalancerende køretøjer.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Selvrisiko - 1. risikodækning.aspx;IndboManual;;Erstatningsopgørelse;;
Selvrisiko - En skade en selvrisiko.aspx;IndboManual;;Erstatningsopgørelse;;
Selvrisiko - Opkrævning af selvrisiko.aspx;IndboManual;;Forretningsgang;;
Selvrisiko - Pålagt selvrisiko.aspx;IndboManual;;Forretningsgang;;
Selvrisiko - Rabatgivende selvrisiko.aspx;IndboManual;;Forretningsgang;;
Selvrisiko - Rykkerbreve vedrørende manglende indbetaling af selvrisikobeløb.aspx;IndboManual;;Diverse;;
Selvrisiko - Selvrisiko eller afskrivning hvornår gøres det gældende.aspx;IndboManual;;Erstatningsopgørelse;;
Selvrisiko - Sletning af rykkergebyrer ved selvrisikoopkrævninger.aspx;IndboManual;;Forretningsgang;;
Selvrisiko på 5000 kr.aspx;IndboManual;;Vilkårenes afsnit 11. Vandskade;;
Sikker post.aspx;IndboManual;;Diverse;;
Sikret personkreds.aspx;IndboManual;;Vilkårenes afsnit 1.B. Hvem dækker forsikringen;;"Dækket: 
- Hjemmeboende børn (uanset alder) af medlem, samlever eller ægtefælle 
- Hjemmeboende plejebørn (uanset alder) se særlige regler herfor  
- Børn under 21 år, som bor på efterskole
- Delebørn - se særlige regler  
Andre familiemedlemmer:
- Hjemmeboende børns samlever/ægtefælle, når denne person er tilmeldt folkeregisteret på medlems helårsadresse 
- Børnebørn
- Vores medlems, samlevers eller ægtefælles forældre
- Vores medlems, samlevers eller ægtefælles søster/bror
- Barn af søster/bror (Medlems, samlevers eller ægtefælles nevø/niece)
- Vores medlems, samlevers eller ægtefælles moster/faster, farbror/morbror
- Børn af moster/faster, farbror/morbror (Medlems, samlevers eller ægtefælles fætter/kusine)
  
- Udeboende børn under 21 år, som bor sammen med 1 eller flere kammerater uden at være i fast forhold med nogle af disse - Vi dækker kun det udeboende barn
- Ægtefælle/samlever til moster/faster, farbror/morbror - Vi dækker kun, hvis moster/faster, farbror/morbror også bor på adressen
- Ægtefælle/samlever til søster/bror - Vi dækker kun, hvis søster/bror også bor på adressen
- Bofælle, hvis bofællesskabet består af højst 2 personer  
- Vores medlem i et bofællesskab bestående af mere end 2 personer (+ samlever hvis samlever er noteret på policen)
 
Ikke dækket:
- Personer der bor til leje hos medlem se særlige regler for (Logerende)
- Udeboende børn under 21, som har stiftet egen familie
- Kammerater som udeboende børn bor sammen med
- Aflastningsbørn - se særlige regler for eventuel ansvarsdækning i ansvarsskadehåndbogen"
Simpelt tyveri af både mv. låst fast til et fast punkt.aspx;IndboManual;;Vilkårenes afsnit 4. Simpelt tyveri - Generelt;;
Simpelt tyveri af indbogenstande når sommerhus er ubeboet.aspx;IndboManual;;Sommerhusforsikringen;;
Simpelt tyveri eller glemt, tabt, forlagt.aspx;IndboManual;;Vilkårenes afsnit 4. Simpelt tyveri - Generelt;;
Simpelt tyveri fra udlånt bolig - boligbyt - Airbnb.aspx;IndboManual;;Vilkårenes afsnit 4. Simpelt tyveri - Generelt;;
Skabeloner.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Skade forvoldt af flyvende trampoliner.aspx;IndboManual;;Vilkårenes afsnit 10. Storm - voldsomt sky- og tøbrud - snetryk;;
Skade forvoldt af optøede varer.aspx;IndboManual;;Vilkårenes afsnit 12. Køle- og dybfrostskade;;
Skade forvoldt af ukendte og uforsikrede hunde.aspx;IndboManual;;Erstatningsopgørelse;;
Skade på cykel - Tyveri eller hærværk.aspx;IndboManual;;Vilkårenes afsnit 4. Simpelt tyveri - Generelt;;
Skadeadvis.aspx;IndboManual;;Diverse;;
Skadearter, statistikkoder og omfangskoder.aspx;IndboManual;;Diverse;;
Skadehåndbøger.aspx;IndboManual;;Forretningsgang;;
Skadeinfo - F2 forkortelser.aspx;IndboManual;;Forretningsgang;;
Skader på private film - og båndoptagelser, it-programmer eller elektroniske lagringsmedier.aspx;IndboManual;;Erstatningsopgørelse;;
Skader sket under flytning.aspx;IndboManual;;Vilkårenes afsnit 18. Pludselig skade;;
Skader som skyldes dårlig emballage eller udflyden af medbragte væsker.aspx;IndboManual;;Vilkårenes afsnit 13. Rejsegods;;
Skadeservice - kasseringslister.aspx;IndboManual;;Forretningsgang;;
Skadet Iphone, når ny model er lanceret.aspx;IndboManual;;Erstatningsopgørelse;;
Skimmelsvamp.aspx;IndboManual;;Diverse;;
Skind og skindtøj.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Skulpturer i haven.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Skybrud.aspx;IndboManual;;Vilkårenes afsnit 10. Storm - voldsomt sky- og tøbrud - snetryk;;
Skærmbriller.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Smart tv.aspx;IndboManual;;Erstatningsopgørelse;;
Smeltevand eller nedbør, hvis skaden er en umiddelbar følge af stormskaden.aspx;IndboManual;;Vilkårenes afsnit 10. Storm - voldsomt sky- og tøbrud - snetryk;;
Små el-biler.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Småskader med udbetaling på under 500 kr.aspx;IndboManual;;Erstatningsopgørelse;;
Snescooter.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Sodskader - tilsodning - tørkogning.aspx;IndboManual;;Vilkårenes afsnit 18. Pludselig skade;;
Software og egne data.aspx;IndboManual;;Erstatningsopgørelse;;
Solarium.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Solcelleanlæg.aspx;IndboManual;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Sp-løsøre - anvendelse ved skønsmæssig erstatning.aspx;IndboManual;;Erstatningsopgørelse;;
Sp-Regninger som ikke stemmer overens med tilbud.aspx;IndboManual;;Erstatningsopgørelse;;
Spabad.aspx;IndboManual;;Vilkårenes afsnit 20. Glas og sanitet;;
Specialskade.aspx;IndboManual;;Diverse;;
Specificeret liste over ødelagte madvarer.aspx;IndboManual;;Erstatningsopgørelse;;
Specificeret liste.aspx;IndboManual;;Vilkårenes afsnit 12. Køle- og dybfrostskade;;
