DestinationPath;IndboArea;Kategori;LBInfo;LBTeaser
Gulf Guld.aspx;;Forretningsgang;;
Gulvbelægning - indbo eller bygning.aspx;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Gulvbelægning i kælder.aspx;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Har det en konsekvens når medlem ikke overholder det, vi aftaler.aspx;;Forretningsgang;;Vi opkræver ikke allerede udbetalte erstatningsbeløb, når skaden er dækningsberettigende
Havelamper.aspx;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Hjemmebiograf.aspx;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Hotelværelse - voldeligt opbrud.aspx;;Vilkårenes afsnit 3. Indbrudstyveri;;"Der gælder et krav om voldeligt opbrud selv om medlem var til stede på hotelværelset under tyveriet. 
Hvis der ikke kan konstateres voldeligt opbrud dækker vi som simpelt tyveri"
Hundesyge - Behandling af hundesyge.aspx;;Forretningsgang;;
Husejere der har tegnet husplus.aspx;;Vilkårenes afsnit 11. Vandskade;;
Hvilke afvisninger skal anlægges.aspx;;Forretningsgang;;
Hårde hvidevarer - Behandling af skader på hårde hvidevarer.aspx;;Forretningsgang;;
Hårde hvidevarer.aspx;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Høreapparater og andre hjælpemidler.aspx;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Incassosager.aspx;;Forretningsgang;;
Indbo i sommerhuse som midlertidig befinder sig udenfor sommerhusmatriklen.aspx;;Sommerhusforsikringen;;
Indbogenstande som købes og efterlades på samme rejse.aspx;;Vilkårenes afsnit 13. Rejsegods;;
Indbovilkår 33-4 eller Indbovilkår 33-5.aspx;;Forretningsgang;;
Indbrud - Behandling af bygningsskader ved indbrud.aspx;;Forretningsgang;;
Indbrud - Behandling af indbrud.aspx;;Forretningsgang;;
Indbrudstyveri - Bankenøgle.aspx;;Vilkårenes afsnit 3. Indbrudstyveri;;Forudsætningen for dækning som indbrudstyveri er, at aflåsningsforholdene kan karakteriseres som forsvarlige
Indbrudstyveri - gennem lukkede og tilhaspede vinduer.aspx;;Vilkårenes afsnit 3. Indbrudstyveri;;Et vindue i udluftningsposition er væsentlig lettere at åbne og dette kan typisk ske med minimal skade på vinduet til følge. Derfor er et tyveri sket gennem et vindue, der står i udluftningsposition, som udgangspunkt et simpelt tyveri
Indbrudstyveri - Tyveri fra bankbokse og tyveri af nøgle til bankboks.aspx;;Vilkårenes afsnit 3. Indbrudstyveri;;Vi dækker udgiften til udboring af lås i bankboks, hvis nøgle bliver stjålet
Indkøb af affugter - strømforbrug.aspx;;Erstatningsopgørelse;;
Indlæg fra Peter Fynbo - Falske faktura.aspx;;Diverse;;
Informationssøgning.aspx;;Diverse;;
Inkassovarsel.aspx;;Forretningsgang;;
Interessefelt.aspx;;Forretningsgang;;
Interrailkort.aspx;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Iphones - Garanti - Reklamation - Reparation - Ombytning.aspx;;Erstatningsopgørelse;;
Isbåd.aspx;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Jagttrofæer.aspx;;Erstatningsopgørelse;;
Karokeanlæg og jukeboks.aspx;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Kikkert og løse kameraobjektiver - linser - afskrivning.aspx;;Erstatningsopgørelse;;
Kite Buggy.aspx;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Klageprocedure.aspx;;Forretningsgang;;
Kombiskader.aspx;;Forretningsgang;;
Kommandørkors.aspx;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Kosmetik.aspx;;Erstatningsopgørelse;;
Krav - Debitorarter ved oprettelse af krav i skadeportalen.aspx;;Forretningsgang;;
Krav - Oprettelse af skadeprovenue.aspx;;Forretningsgang;;"- Skyldner (navn, adresse og forsikringsselskab) skal altid oprettes på sagen
- Når der er udbetalt i sagen (helt eller delvist) skal der oprettes et krav på det beløb, vi retter mod skyldner – og ingen dagbog
- Når der ikke er udbetalt i sagen, "
Krav - Rykkerproecedure for krav (ikke selvrisiko).aspx;;Forretningsgang;;
Kriteriet for en pludselig skade.aspx;;Vilkårenes afsnit 18. Pludselig skade;;
Kulanceanmodning.aspx;;Erstatningsopgørelse;;
Kunstgenstande - specialfremstillede genstande - genstande som ikke kan skaffes.aspx;;Erstatningsopgørelse;;
Køb af stjålne genstande.aspx;;Forretningsgang;;
Køb af tilvejekomne effekter.aspx;;Forretningsgang;;
Køb af tilvejekomne smykker eller andre genstande med 1. risikodækning.aspx;;Forretningsgang;;
Køle- og dybfrostskader - skader omfattet af garanti.aspx;;Vilkårenes afsnit 12. Køle- og dybfrostskade;;
Kørestole.aspx;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Legehus, gyngestativ og legetårn.aspx;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Liste over politikredse.aspx;;Diverse;;
Logerende.aspx;;Vilkårenes afsnit 1.B. Hvem dækker forsikringen;;En person betragtes som en logerende, hvis medlem ikke er indforstået med, at personen belaster medlems forsikring ved skader.
Lånte og lejede genstande.aspx;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Lægetasker.aspx;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Lærerbøger og undervisningsmateriale, som tilhører medlem.aspx;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Løbehjul med benzinmotor.aspx;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Mail - Skriftlig kommunikation med medlem.aspx;;Forretningsgang;;
Mails - Autoarkivering af mails uden kode.aspx;;Forretningsgang;;
Mails - Autosvar på mails - Ikke til stede.aspx;;Diverse;;
Maks. dækning for cykler.aspx;;Erstatningsopgørelse;;
Medarbejdersager.aspx;;Forretningsgang;;
Medicin.aspx;;Vilkårenes afsnit 12. Køle- og dybfrostskade;;
Medlems udlånte indbogenstande, der tages med til udlandet af låner.aspx;;Vilkårenes afsnit 13. Rejsegods;;
Mentech.aspx;;Forretningsgang;;
Midlertidigt anbragt uden for forsikringsstedet.aspx;;Vilkårenes afsnit 1.C. Hvor dækker forsikringen;;Dækningsperioden på 12 måneders midlertidig anbringelse uden for forsikringsstedet begynder forfra hver gang genstanden har været på forsikringsstedet.
Midlertidigt pas.aspx;;Erstatningsopgørelse;;
Misbrug af betalingskort.aspx;;Erstatningsopgørelse;;
Modtagelse af domme til brug for inddrivelse af penge, vi er tilkendt ad rettens vej.aspx;;Forretningsgang;;
Monobuggy - golfvogn.aspx;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Mortifikation af værdipapirer.aspx;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Motoriserede haveredskaber, herunder atv'er, som haveredskab.aspx;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Musikfiler.aspx;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Nedbør eller smeltevand trænger gennem utætheder i bygningen.aspx;;Vilkårenes afsnit 11. Vandskade;;
Nytteværdi.aspx;;Erstatningsopgørelse;;
Når der sker skade i forbindelse med udbedring af en skade.aspx;;Diverse;;
Nøgle til cykellås.aspx;;Erstatningsopgørelse;;
Offentligt tilgængelige oplysninger på internettet - fx facebook.aspx;;Forretningsgang;;
Omdøbe bilag på workflow.aspx;;Forretningsgang;;
Omstilling af flere låsecylindre på samme dør.aspx;;Erstatningsopgørelse;;
Omstilling af lås i postkasser.aspx;;Erstatningsopgørelse;;
Opbevaring af våben.aspx;;Forretningsgang;;
Opgørelse af dobbeltlforsikringskrav - Hvilke udgifter indgår i et dobbeltforsikringskrav.aspx;;Erstatningsopgørelse;;"Skaden udgør det højeste erstatningsbeløb, som de involverede selskaber ville have opgjort skaden til.
Administrationsomkostninger indgå ikke i kravet."
Opgørelse af erstatningens størrelse i forhold til vilkårenes maksdækning.aspx;;Erstatningsopgørelse;;
Opgørelse når reparation eller værdiforringelse udgør 50 procent af nyværdien.aspx;;Erstatningsopgørelse;;
Oplysninger til andre om medlems skadeforløb.aspx;;Forretningsgang;;
Opmagasinering.aspx;;Vilkårenes afsnit 1.C. Hvor dækker forsikringen;;"Der er ikke tale om opmagasinering når medlem anbringer indbogenstande Fx hjemme hos forældre eller venner. Derfor gælder tidsbegrænsningen på 12 måneder på disse steder.
Vi betragter de godkendte opmagasineringssteder som en helårsbolig."
Opstigende grundvand på lejeres forsikrede ting.aspx;;Vilkårenes afsnit 11. Vandskade;;
Opstigning af grund- og kloakvand.aspx;;Vilkårenes afsnit 9. Udstrømning af væsker (Vandskade);;
Opsætning.aspx;;Vilkårenes afsnit 20. Glas og sanitet;;
Oversigt over, hvilke selskaber der er tiltrådt de forskellige skadeforsikringsaftaler.aspx;;Diverse;;
Parabolantenner.aspx;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Partytelte og pavilloner.aspx;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Penge mm.aspx;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Personfølsomme oplysninger.aspx;;Forretningsgang;;
Plejebørn - når plejebarnet fylder 18 år.aspx;;Vilkårenes afsnit 1.B. Hvem dækker forsikringen;;Plejebørn er fortsat omfattet af den sikrede personkreds, når plejebarnet fylder 18 år og er tilmeldt på medlems folkeregisteradresse
Pludselig skade - Bortkomst eller beskadigelse.aspx;;Vilkårenes afsnit 18. Pludselig skade;;
Pludselig skade - Undtagelsesbestemmelserne almindelig brug og kosmetiske skader.aspx;;Vilkårenes afsnit 18. Pludselig skade;;
Pludselig skade forvoldt af dyr.aspx;;Vilkårenes afsnit 18. Pludselig skade;;
Pludselig skade på cykler.aspx;;Vilkårenes afsnit 18. Pludselig skade;;
Pludselig skade på motoriserede haveredskaber.aspx;;Vilkårenes afsnit 18. Pludselig skade;;
Pludselig tilsodning fra forskriftsmæssigt indrettet anlæg til at opvarme  rum.aspx;;Vilkårenes afsnit 2. Brand, lynnedslag og eksplosion mv.;;"Ved et forskriftsmæssigt indrettet anlæg til at opvarme rum forstås en pejs, brændeovn, pillefyr, brændefyr. 
Tilsodning fra madlavning, lys og olielamper er ikke en sodskade fra et forskriftsmæssigt indrettet anlæg til at opvarme rum"
Politiets journalkoder.aspx;;Diverse;;
Politikredse.aspx;;Diverse;;
Politikvittering - Indhentning af politikvittering.aspx;;Forretningsgang;;
Postkasser.aspx;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Postnumre inddeling for Indbotaksator på Fyn og Jylland.aspx;;Den Gode Indboskadebehandler - Den Gode Indbotaksator - Taksatorhjælp;;
Postnumre inddeling for Indbotaksator på Sjælland.aspx;;Den Gode Indboskadebehandler - Den Gode Indbotaksator - Taksatorhjælp;;
Private contra erhvervspenge.aspx;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Proteser.aspx;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
præmieobligation.aspx;;Erstatningsopgørelse;;
Psykisk syge - pludselige skader - hærværk.aspx;;Vilkårenes afsnit 18. Pludselig skade;;
Psykologisk krisehjælp.aspx;;Forretningsgang;;
Punktering.aspx;;Vilkårenes afsnit 20. Glas og sanitet;;
På hvilke rejser er rejsegods dækket.aspx;;Vilkårenes afsnit 13. Rejsegods;;
Radiostyrede modelfly og droner.aspx;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Ran begrebet.aspx;;Vilkårenes afsnit 6. Ran, røveri og overfald;;
Redning- og bevaringsudgift - Omstilling af låse.aspx;;Diverse;;
Redning- og bevaringsudgift - Tyveri af fjernbetjening til alarm.aspx;;Diverse;;
Redning- og bevaringsudgifter - Betaling på Indbo- eller husforsikring.aspx;;Forretningsgang;;
Registreringsattest.aspx;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Regres - Bevissikring i sager mod DONG (ØRSTED).aspx;;Den Gode Indboskadebehandler - Den Gode Indbotaksator - Regres;;
Regres - Forældrehæftelse.aspx;;Den Gode Indboskadebehandler - Den Gode Indbotaksator - Regres;;
Regres - Generelt om regresbehandling.aspx;;Den Gode Indboskadebehandler - Den Gode Indbotaksator - Regres;;
Regres - Hvem må lægge en regressag ned.aspx;;Den Gode Indboskadebehandler - Den Gode Indbotaksator - Regres;;
Regres - hvornår gør vi regres.aspx;;Den Gode Indboskadebehandler - Den Gode Indbotaksator - Regres;;
Regres - Kontanterstatning.aspx;;Den Gode Indboskadebehandler - Den Gode Indbotaksator - Regres;;
Regres - Når skaden er forvoldt af pårørende.aspx;;Den Gode Indboskadebehandler - Den Gode Indbotaksator - Regres;;
Regres - Opkrævning af selvrisiko.aspx;;Den Gode Indboskadebehandler - Den Gode Indbotaksator - Regres;;
Regres - Overfor flyselskaber.aspx;;Den Gode Indboskadebehandler - Den Gode Indbotaksator - Regres;;
Regres - Regresnotat.aspx;;Den Gode Indboskadebehandler - Den Gode Indbotaksator - Regres;;
Regres - Rejsegods - Regres overfor flyselskab.aspx;;Den Gode Indboskadebehandler - Den Gode Indbotaksator - Regres;;
Regres - Sager til regresgruppen.aspx;;Den Gode Indboskadebehandler - Den Gode Indbotaksator - Regres;;
Regres - Skade forvoldt af udenlandste biler.aspx;;Den Gode Indboskadebehandler - Den Gode Indbotaksator - Regres;;
Regres i færdselsskadesager.aspx;;Forretningsgang;;
Regresblanket.aspx;;Diverse;;
Regressager.aspx;;Den Gode Indboskadebehandler - Den Gode Indbotaksator - Regres;;
Reklamation overfor håndværkere og samarbejdspartnere.aspx;;Erstatningsopgørelse;;
Reparation af cykler.aspx;;Erstatningsopgørelse;;
Reparation eller totalskade i forhold til 50 procent reglen i indbovilkår 33-4.aspx;;Erstatningsopgørelse;;
Reparationserklæringer - betaling herfor.aspx;;Erstatningsopgørelse;;
Reserveafsættelse i skadesager som forventes at komme til at koste over 1,5 mio.aspx;;Erstatningsopgørelse;;
Reserveafsættelse.aspx;;Erstatningsopgørelse;;
Returnering af genleverede smykker.aspx;;Forretningsgang;;
Risiko - Indberetning af faktiske og mulige tab.aspx;;Diverse;;
Rådgivningsfejl - mangelfuld rådgivning fra tegningskonsulent.aspx;;Forretningsgang;;
Røveri.aspx;;Vilkårenes afsnit 6. Ran, røveri og overfald;;
Sagsbehandler til medlem (a).aspx;Skadeårsag er dækket - Done in one;Den Gode Indboskadebehandler - Den Gode Indbotaksator;;
Sagsbehandler til medlem eller taksator til medlem (b).aspx;Skadeårsag er dækket - Erstatning opgøres delvist. Vi mangler oplysninger om enkelte eller flere genstande for at tage stilling til dækning eller erstatningens størrelse;Den Gode Indboskadebehandler - Den Gode Indbotaksator;;
Sagsbehandler til medlem eller taksator til medlem (c).aspx;Skadeårsag er dækket - Vi mangler oplysninger om de skaderamte genstande for at tage stilling til dækning eller erstatningens størrelse;Den Gode Indboskadebehandler - Den Gode Indbotaksator;;
Sagsbehandler til medlem eller taksator til medlem (d).aspx;Vi ved ikke om skadeårsag er dækket;Den Gode Indboskadebehandler - Den Gode Indbotaksator;;
Sagsbehandler til medlem eller taksator til medlem (e).aspx;Telefonsamtalen afsluttes med;Den Gode Indboskadebehandler - Den Gode Indbotaksator;;
Sagsbehandler til medlem eller taksator til medlem (f).aspx;Skadeårsag er ikke dækket;Den Gode Indboskadebehandler - Den Gode Indbotaksator;;
Sagsbehandler til taksator (a).aspx;Overdragelse af sagen til taksastor;Den Gode Indboskadebehandler - Den Gode Indbotaksator;;
Sagsbehandler til taksator (b).aspx;Hvad skal noteres i SP Byg;Den Gode Indboskadebehandler - Den Gode Indbotaksator;;
Sagsflow.aspx;;Forretningsgang;;
Sanering - Forbehold på policen.aspx;;Diverse;;
Sanering - kontakt til sanering.aspx;;Diverse;;
Scalepoint  - Udbetaling til Scalepoint - Behandling af Kvalitetssager.aspx;;Diverse;;
Scalepoint Løsøre ECC.aspx;;Forretningsgang;;
Scalepoint til bygningsskader.aspx;;Forretningsgang;;
Segway og selvbalancerende køretøjer.aspx;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Selvrisiko - 1. risikodækning.aspx;;Erstatningsopgørelse;;
Selvrisiko - En skade en selvrisiko.aspx;;Erstatningsopgørelse;;
Selvrisiko - Opkrævning af selvrisiko.aspx;;Forretningsgang;;
Selvrisiko - Pålagt selvrisiko.aspx;;Forretningsgang;;
Selvrisiko - Rabatgivende selvrisiko.aspx;;Forretningsgang;;
Selvrisiko - Rykkerbreve vedrørende manglende indbetaling af selvrisikobeløb.aspx;;Diverse;;
Selvrisiko - Selvrisiko eller afskrivning hvornår gøres det gældende.aspx;;Erstatningsopgørelse;;
Selvrisiko - Sletning af rykkergebyrer ved selvrisikoopkrævninger.aspx;;Forretningsgang;;
Selvrisiko på 5000 kr.aspx;;Vilkårenes afsnit 11. Vandskade;;
Sikker post.aspx;;Diverse;;
Sikret personkreds.aspx;;Vilkårenes afsnit 1.B. Hvem dækker forsikringen;;"Dækket: 
- Hjemmeboende børn (uanset alder) af medlem, samlever eller ægtefælle 
- Hjemmeboende plejebørn (uanset alder) se særlige regler herfor  
- Børn under 21 år, som bor på efterskole
- Delebørn - se særlige regler  
Andre familiemedlemmer:
- Hjemmeboende børns samlever/ægtefælle, når denne person er tilmeldt folkeregisteret på medlems helårsadresse 
- Børnebørn
- Vores medlems, samlevers eller ægtefælles forældre
- Vores medlems, samlevers eller ægtefælles søster/bror
- Barn af søster/bror (Medlems, samlevers eller ægtefælles nevø/niece)
- Vores medlems, samlevers eller ægtefælles moster/faster, farbror/morbror
- Børn af moster/faster, farbror/morbror (Medlems, samlevers eller ægtefælles fætter/kusine)
  
- Udeboende børn under 21 år, som bor sammen med 1 eller flere kammerater uden at være i fast forhold med nogle af disse - Vi dækker kun det udeboende barn
- Ægtefælle/samlever til moster/faster, farbror/morbror - Vi dækker kun, hvis moster/faster, farbror/morbror også bor på adressen
- Ægtefælle/samlever til søster/bror - Vi dækker kun, hvis søster/bror også bor på adressen
- Bofælle, hvis bofællesskabet består af højst 2 personer  
- Vores medlem i et bofællesskab bestående af mere end 2 personer (+ samlever hvis samlever er noteret på policen)
 
Ikke dækket:
- Personer der bor til leje hos medlem se særlige regler for (Logerende)
- Udeboende børn under 21, som har stiftet egen familie
- Kammerater som udeboende børn bor sammen med
- Aflastningsbørn - se særlige regler for eventuel ansvarsdækning i ansvarsskadehåndbogen"
Simpelt tyveri af både mv. låst fast til et fast punkt.aspx;;Vilkårenes afsnit 4. Simpelt tyveri - Generelt;;
Simpelt tyveri af indbogenstande når sommerhus er ubeboet.aspx;;Sommerhusforsikringen;;
Simpelt tyveri eller glemt, tabt, forlagt.aspx;;Vilkårenes afsnit 4. Simpelt tyveri - Generelt;;
Simpelt tyveri fra udlånt bolig - boligbyt - Airbnb.aspx;;Vilkårenes afsnit 4. Simpelt tyveri - Generelt;;
Skabeloner.aspx;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Skade forvoldt af flyvende trampoliner.aspx;;Vilkårenes afsnit 10. Storm - voldsomt sky- og tøbrud - snetryk;;
Skade forvoldt af optøede varer.aspx;;Vilkårenes afsnit 12. Køle- og dybfrostskade;;
Skade forvoldt af ukendte og uforsikrede hunde.aspx;;Erstatningsopgørelse;;
Skade på cykel - Tyveri eller hærværk.aspx;;Vilkårenes afsnit 4. Simpelt tyveri - Generelt;;
Skadeadvis.aspx;;Diverse;;
Skadearter, statistikkoder og omfangskoder.aspx;;Diverse;;
Skadehåndbøger.aspx;;Forretningsgang;;
Skadeinfo - F2 forkortelser.aspx;;Forretningsgang;;
Skader på private film - og båndoptagelser, it-programmer eller elektroniske lagringsmedier.aspx;;Erstatningsopgørelse;;
Skader sket under flytning.aspx;;Vilkårenes afsnit 18. Pludselig skade;;
Skader som skyldes dårlig emballage eller udflyden af medbragte væsker.aspx;;Vilkårenes afsnit 13. Rejsegods;;
Skadeservice - kasseringslister.aspx;;Forretningsgang;;
Skadet Iphone, når ny model er lanceret.aspx;;Erstatningsopgørelse;;
Skimmelsvamp.aspx;;Diverse;;
Skind og skindtøj.aspx;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Skulpturer i haven.aspx;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Skybrud.aspx;;Vilkårenes afsnit 10. Storm - voldsomt sky- og tøbrud - snetryk;;
Skærmbriller.aspx;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Smart tv.aspx;;Erstatningsopgørelse;;
Smeltevand eller nedbør, hvis skaden er en umiddelbar følge af stormskaden.aspx;;Vilkårenes afsnit 10. Storm - voldsomt sky- og tøbrud - snetryk;;
Små el-biler.aspx;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Småskader med udbetaling på under 500 kr.aspx;;Erstatningsopgørelse;;
Snescooter.aspx;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Sodskader - tilsodning - tørkogning.aspx;;Vilkårenes afsnit 18. Pludselig skade;;
Software og egne data.aspx;;Erstatningsopgørelse;;
Solarium.aspx;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Solcelleanlæg.aspx;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Sp-løsøre - anvendelse ved skønsmæssig erstatning.aspx;;Erstatningsopgørelse;;
Sp-Regninger som ikke stemmer overens med tilbud.aspx;;Erstatningsopgørelse;;
Spabad.aspx;;Vilkårenes afsnit 20. Glas og sanitet;;
Specialskade.aspx;;Diverse;;
Specificeret liste over ødelagte madvarer.aspx;;Erstatningsopgørelse;;
Specificeret liste.aspx;;Vilkårenes afsnit 12. Køle- og dybfrostskade;;
Spiritus - hedvin - breezer.aspx;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Spærring af bankkonti.aspx;;Erstatningsopgørelse;;
Startside.aspx;;Erstatningsopgørelse;;
Statistikkode 008 - Skader der ikke er dækning for.aspx;;Diverse;;
Statistikkode 300 - Redning og bevaring.aspx;;Forretningsgang;;
Statistikkode 300 og 400 - Redning og bevaring.aspx;;Diverse;;
Statistikkoder - Hvilken statistikkode skal bruges.aspx;;Forretningsgang;;
Stelnummer betegnelse på cykler.aspx;;Erstatningsopgørelse;;
Stillads og stiger.aspx;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Stormflodsskader.aspx;;Vilkårenes afsnit 10. Storm - voldsomt sky- og tøbrud - snetryk;;
Stormskadet indbo i drivhuse.aspx;;Vilkårenes afsnit 10. Storm - voldsomt sky- og tøbrud - snetryk;;
Studieforsikring ekstra.aspx;;Diverse;;
Summer, præmier og selvrisikobeløb.aspx;;Erstatningsopgørelse;;
Svideskader - stjernekastere og tændstikker.aspx;;Vilkårenes afsnit 2. Brand, lynnedslag og eksplosion mv.;;"Hvis en brændende tændstik tabes eller knækker og svider nogle huller er der tale om en brandskade. Fordi der har været flammedannende ild i tændstikken/stjernekasteren. 
Det er en svideskade når gløder springer fra tændstikker og stjernekastere - og derfor skal en sådan skade afvises"
Særligt privat indbo - tilbehør til særligt privat indbo - synligt udefra.aspx;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Søgning på hjemmesider.aspx;;Forretningsgang;;
Tablets - afskrivning.aspx;;Erstatningsopgørelse;;
Taksator - Bestilling af taksator på sommerhussager.aspx;;Den Gode Indboskadebehandler - Den Gode Indbotaksator - Taksatorhjælp;;
Taksator - Bestilling af taksator til hastesager.aspx;;Den Gode Indboskadebehandler - Den Gode Indbotaksator - Taksatorhjælp;;
Taksator - Freelance taksator Jesper Møller-Hansen.aspx;;Den Gode Indboskadebehandler - Den Gode Indbotaksator - Taksatorhjælp;;
Taksator til sagsbehandler eller taksator til taksator (a).aspx;SP Byg - Notater, besigtigelsesrapporter - billeder og mails;Den Gode Indboskadebehandler - Den Gode Indbotaksator;;
Taksator til sagsbehandler eller taksator til taksator (b).aspx;Regresskabelon;Den Gode Indboskadebehandler - Den Gode Indbotaksator;;
Taksatorsager - Bilag til erstatningsopgørelsen – Hvor finder man dem.aspx;;Indbotaksator;;
Taksatorsager - Erstatningsopgørelse.aspx;;Indbotaksator;;
Taksatorsager - Generel dokumentation – Hvad er lagt til grund og hvor skal dette noteres.aspx;;Indbotaksator;;
Taksatorsager - Rregressager - Hvad er vigtigt.aspx;;Indbotaksator;;
Taksatorsager og skadeservicesager.aspx;;Den Gode Indboskadebehandler - Den Gode Indbotaksator - Taksatorhjælp;;
Takseringsfaktura - Betaling af takseringsfaktura.aspx;;Forretningsgang;;
Telefonnummer - Direkte telefonnummer til Bygning- og Indboskade.aspx;;Diverse;;
Tilbehør til motorkøretøjer.aspx;;Vilkårenes afsnit 1.F. Hvilke ting dækker forsikringen skader på;;
Tilbud - Pris på reparation.aspx;;Erstatningsopgørelse;;
Tilbud eller overslag.aspx;;Erstatningsopgørelse;;
Tilfældig afbrydelse af strømmen.aspx;;Vilkårenes afsnit 12. Køle- og dybfrostskade;;
Tilsvarende ting - elektroniske ting.aspx;;Erstatningsopgørelse;;
Ting der bortkommer.aspx;;Vilkårenes afsnit 19. El-skade og elektronikdækning;;
Ting købt i udlandet.aspx;;Erstatningsopgørelse;;
Ting som er sat til salg - Varer i kommission.aspx;;Vilkårenes afsnit 1.C. Hvor dækker forsikringen;;Genstanden er ikke omfattet af medlems indboforsikring efter de første 2 måneder
Tingskader forvoldt af ukendte eller uforsikrede søfartøjer under 15 meter.aspx;;Erstatningsopgørelse;;
Tolkebistand.aspx;;Erstatningsopgørelse;;
Topdesk - Kontakt til Sericedesk - IT via Topdesk.aspx;;Diverse;;
Tricktyveri på forsikringsstedet.aspx;;Vilkårenes afsnit 3. Indbrudstyveri;;Der er dækning for tricktyveri, når det finder sted på forsikringsstedet. Dækningen er den samme som ved indbrudstyveri.
Tyveri af arbejdsredskaber i container.aspx;;Vilkårenes afsnit 3. Indbrudstyveri;;En container kan ikke anses for en bygning. Derfor kan tyveri fra containere ikke anerkendes som indbrudstyveri
Tyveri af genstande, som andre holder øje med.aspx;;Vilkårenes afsnit 4. Simpelt tyveri - Generelt;;
Tyveri begået af dyr.aspx;;Vilkårenes afsnit 18. Pludselig skade;;
Tyveri begået af håndværkere.aspx;;Vilkårenes afsnit 3. Indbrudstyveri;;
Tyveri begået af medhjælp.aspx;;Vilkårenes afsnit 4. Simpelt tyveri - Generelt;;
Tyveri fra autocamper.aspx;;Vilkårenes afsnit 5. Simpelt tyveri - Bil mv.;;
Tyveri fra beboelsesvogn, campingvogn, når medlem er tilstede.aspx;;Vilkårenes afsnit 5. Simpelt tyveri - Bil mv.;;
Tyveri fra bil - Hundebeslag.aspx;;Vilkårenes afsnit 5. Simpelt tyveri - Bil mv.;;
Tyveri fra bil - Medlem mener at være blevet bedøvet.aspx;;Vilkårenes afsnit 5. Simpelt tyveri - Bil mv.;;
Tyveri fra bil i parkeringskældre.aspx;;Vilkårenes afsnit 5. Simpelt tyveri - Bil mv.;;
Tyveri fra bil med rette bilnøgle.aspx;;Vilkårenes afsnit 5. Simpelt tyveri - Bil mv.;;
Tyveri fra bus eller bil sket under af- og pålæsning.aspx;;Vilkårenes afsnit 5. Simpelt tyveri - Bil mv.;;
